2.632916512086191574e+01,9.023763002451538284e+01,5.307393234560483108e+01,8.270496563889363273e+00
2.632657348577840040e+01,9.024218584159417844e+01,5.307417144784052709e+01,8.302093883962564647e+00
2.632397572493658089e+01,9.024672536595799954e+01,5.307441409493251427e+01,8.333678884384070784e+00
2.632137193026644084e+01,9.025124874452784240e+01,5.307466024381298553e+01,8.365250598883948285e+00
2.631876219185670251e+01,9.025575612266014502e+01,5.307490985189499355e+01,8.396808178219384189e+00
2.631614659808926859e+01,9.026024764438336945e+01,5.307516287745952610e+01,8.428350850080439827e+00
2.631352523568374124e+01,9.026472345243571738e+01,5.307541927932173564e+01,8.459877695574137491e+00
2.631089818960323967e+01,9.026918368789296210e+01,5.307567901697007784e+01,8.491388084107521550e+00
2.630826554328354305e+01,9.027362849070600248e+01,5.307594205054382996e+01,8.522881226986173786e+00
2.630562737850732802e+01,9.027805799925475583e+01,5.307620834080934458e+01,8.554356321871454227e+00
2.630298377550923661e+01,9.028247235055216890e+01,5.307647784906725263e+01,8.585812862129678535e+00
2.630033481302849196e+01,9.028687168029011900e+01,5.307675053733705539e+01,8.617250062509260289e+00
2.629768056832204337e+01,9.029125612280367363e+01,5.307702636809255381e+01,8.648667429946037544e+00
2.629502111712830370e+01,9.029562581086568684e+01,5.307730530445595463e+01,8.680064141717741322e+00
2.629235653379355853e+01,9.029998087596496248e+01,5.307758731016968312e+01,8.711439919840298529e+00
2.628968689132146253e+01,9.030432144838505337e+01,5.307787234933192622e+01,8.742794051534920285e+00
2.628701226128740132e+01,9.030864765684241036e+01,5.307816038687827387e+01,8.774125916008722825e+00
2.628433271397801718e+01,9.031295962885577921e+01,5.307845138793768314e+01,8.805435207557369637e+00
2.628164831834969561e+01,9.031725749049982710e+01,5.307874531854772471e+01,8.836721269841401494e+00
2.627895914212399475e+01,9.032154136666174793e+01,5.307904214491004069e+01,8.867983717136816324e+00
2.627626525174491690e+01,9.032581138080141159e+01,5.307934183397556893e+01,8.899222000842886615e+00
2.627356671242828057e+01,9.033006765503887436e+01,5.307964435324331021e+01,8.930435894163856858e+00
2.627086358825722456e+01,9.033431031039987147e+01,5.307994967037740963e+01,8.961624917836360282e+00
2.626815594205072912e+01,9.033853946630584630e+01,5.308025775382728284e+01,8.992788429960071994e+00
2.626544383557028794e+01,9.034275524116384304e+01,5.308056857239761683e+01,9.023926481265986510e+00
2.626272732942601706e+01,9.034695775200850676e+01,5.308088209537113045e+01,9.055038451338482730e+00
2.626000648317204877e+01,9.035114711472790816e+01,5.308119829254486888e+01,9.086123997041086753e+00
2.625728135521898565e+01,9.035532344374666991e+01,5.308151713402455840e+01,9.117182903849544218e+00
2.625455200299280634e+01,9.035948685243583611e+01,5.308183859050240727e+01,9.148214949631938708e+00
2.625181848288143982e+01,9.036363745290658755e+01,5.308216263302953308e+01,9.179219595898940653e+00
2.624908085026827465e+01,9.036777535604264244e+01,5.308248923320262236e+01,9.210196567452314298e+00
2.624633915953470265e+01,9.037190067148067385e+01,5.308281836279209642e+01,9.241145802196003345e+00
2.624359346416616035e+01,9.037601350785155319e+01,5.308314999424524672e+01,9.272067004549301217e+00
2.624084381665915089e+01,9.038011397246808087e+01,5.308348410024601094e+01,9.302959797834793321e+00
2.623809026857916038e+01,9.038420217144104640e+01,5.308382065389313453e+01,9.333824130584556400e+00
2.623533287061558283e+01,9.038827820980333172e+01,5.308415962871821137e+01,9.364659557212499763e+00
2.623257167255864175e+01,9.039234219138519677e+01,5.308450099869385497e+01,9.395466157330995216e+00
2.622980672336343844e+01,9.039639421899489946e+01,5.308484473797425096e+01,9.426243533656210261e+00
2.622703807113260766e+01,9.040043439427776661e+01,5.308519082134750988e+01,9.456991611899013606e+00
2.622426576314220625e+01,9.040446281779304627e+01,5.308553922377534917e+01,9.487710209877809220e+00
2.622148984583511222e+01,9.040847958892604197e+01,5.308588992063864964e+01,9.518399113870911421e+00
2.621871036489320517e+01,9.041248480609719707e+01,5.308624288755520126e+01,9.549058316114495071e+00
2.621592736520536704e+01,9.041647856658222793e+01,5.308659810074571084e+01,9.579687336983157664e+00
2.621314089088805233e+01,9.042046096658494037e+01,5.308695553649289423e+01,9.610286433546034957e+00
2.621035098535431374e+01,9.042443210138284826e+01,5.308731517164297031e+01,9.640855194380593574e+00
2.620755769123433154e+01,9.042839206505296090e+01,5.308767698324822248e+01,9.671393802612771040e+00
2.620476105049861459e+01,9.043234095084835644e+01,5.308804094855080535e+01,9.701901962866326556e+00
2.620196110436981130e+01,9.043627885082665330e+01,5.308840704537908550e+01,9.732379551889302149e+00
2.619915789341278156e+01,9.044020585615123764e+01,5.308877525177398127e+01,9.762826640719099558e+00
2.619635145752204863e+01,9.044412205701320318e+01,5.308914554599436286e+01,9.793242902778995784e+00
2.619354183593754470e+01,9.044802754263385225e+01,5.308951790668396598e+01,9.823628360395193937e+00
2.619072906724300509e+01,9.045192240123462568e+01,5.308989231276245846e+01,9.853983102266623106e+00
2.618791318937407198e+01,9.045580672004237499e+01,5.309026874330227486e+01,9.884306948003827031e+00
2.618509423967227079e+01,9.045968058539722279e+01,5.309064717800220023e+01,9.914599854914699861e+00
2.618227225486646859e+01,9.046354408272489422e+01,5.309102759648224179e+01,9.944861735063975416e+00
2.617944727109070513e+01,9.046739729650558104e+01,5.309140997891307734e+01,9.975092555817054674e+00
2.617661932389691160e+01,9.047124031034252312e+01,5.309179430545844269e+01,1.000529246687826124e+01
2.617378844825080009e+01,9.047507320687618915e+01,5.309218055668984704e+01,1.003546104720263621e+01
