2.632916512086191574e+01,9.023763002451538284e+01,5.307393234560483108e+01,8.270496563889363273e+00
2.633175692283663949e+01,9.023307510425033229e+01,5.307369329059434193e+01,8.238984060057045866e+00
2.633434252991764879e+01,9.022850380845038387e+01,5.307345780932300272e+01,8.207461717340091667e+00
2.633692184732800001e+01,9.022391598877516117e+01,5.307322594603928678e+01,8.175930431277672383e+00
2.633949477847514231e+01,9.021931149567912200e+01,5.307299774551156446e+01,8.144391133860889198e+00
2.634206122477437617e+01,9.021469017804508894e+01,5.307277325331265416e+01,8.112845053655833638e+00
2.634462108573827166e+01,9.021005188354995141e+01,5.307255251565847232e+01,8.081293210449548070e+00
2.634717425882574915e+01,9.020539645838393028e+01,5.307233557956433145e+01,8.049736871712864783e+00
2.634972063946776544e+01,9.020072374745016930e+01,5.307212249274653004e+01,8.018177041741980204e+00
2.635226012101178483e+01,9.019603359434658785e+01,5.307191330369217752e+01,7.986615050863290044e+00
2.635479259465381574e+01,9.019132584132286468e+01,5.307170806168842603e+01,7.955052251172793909e+00
2.635731794936642913e+01,9.018660032923737901e+01,5.307150681676431958e+01,7.923489964834473653e+00
2.635983607190602029e+01,9.018185689771075886e+01,5.307130961982676354e+01,7.891929448760990340e+00
2.636234684675462248e+01,9.017709538512976053e+01,5.307111652247716194e+01,7.860372191412671405e+00
2.636485015602848492e+01,9.017231562855562288e+01,5.307092757726513810e+01,7.828819707918592385e+00
2.636734587942791563e+01,9.016751746376046128e+01,5.307074283750132082e+01,7.797273447182599071e+00
2.636983389427815538e+01,9.016270072548232406e+01,5.307056235725860205e+01,7.765735098188154772e+00
2.637231407533155547e+01,9.015786524708700256e+01,5.307038619168568516e+01,7.734206218856846782e+00
2.637478629485434567e+01,9.015301086096162919e+01,5.307021439653930628e+01,7.702688612192662099e+00
2.637725042241060081e+01,9.014813739813840243e+01,5.307004702878518998e+01,7.671184065725189960e+00
2.637970632498229762e+01,9.014324468877779850e+01,5.306988414598011872e+01,7.639694172368639791e+00
2.638215386678002972e+01,9.013833256187615461e+01,5.306972580673335216e+01,7.608221178220314407e+00
2.638459290921089107e+01,9.013340084537813368e+01,5.306957207056675685e+01,7.576766782260530242e+00
2.638702331087063513e+01,9.012844936634294868e+01,5.306942299793615803e+01,7.545333109259813931e+00
2.638944492745717341e+01,9.012347795093090497e+01,5.306927865026023028e+01,7.513922295088445225e+00
2.639185761164955935e+01,9.011848642432062206e+01,5.306913908990720330e+01,7.482536352210493291e+00
2.639426121316984464e+01,9.011347461105074785e+01,5.306900438017393640e+01,7.451177790519456501e+00
2.639665557861356149e+01,9.010844233483432220e+01,5.306887458542175295e+01,7.419848704949845164e+00
2.639904055138223882e+01,9.010338941862215734e+01,5.306874977094083334e+01,7.388551588296865091e+00
2.640141597170473631e+01,9.009831568486367814e+01,5.306863000302532640e+01,7.357288953002368181e+00
2.640378167650737140e+01,9.009322095543522835e+01,5.306851534907161749e+01,7.326063399403644816e+00
2.640613749934151144e+01,9.008810505171183536e+01,5.306840587739487347e+01,7.294877525496093362e+00
2.640848327037727472e+01,9.008296779478014571e+01,5.306830165738926297e+01,7.263734103372537554e+00
2.641081881629681760e+01,9.007780900544172198e+01,5.306820275957171873e+01,7.232636042145530020e+00
2.641314396015332022e+01,9.007262850415881417e+01,5.306810925538295720e+01,7.201586191479663057e+00
2.641545852143051576e+01,9.006742611142502142e+01,5.306802121742725120e+01,7.170587598584569733e+00
2.641776231597390279e+01,9.006220164787202975e+01,5.306793871933905393e+01,7.139643520688109923e+00
2.642005515574684082e+01,9.005695493401987051e+01,5.306786183583216854e+01,7.108757106101688983e+00
2.642233684896637058e+01,9.005168579082562985e+01,5.306779064266304147e+01,7.077931647039608976e+00
2.642460719993556850e+01,9.004639403960477750e+01,5.306772521680436228e+01,7.047170748016393205e+00
2.642686600895774873e+01,9.004107950213827394e+01,5.306766563621025767e+01,7.016477903479382050e+00
2.642911307237543994e+01,9.003574200102984548e+01,5.306761197999849600e+01,6.985856834020511386e+00
2.643134818232380923e+01,9.003038135950396281e+01,5.306756432837270410e+01,6.955311290721028605e+00
2.643357112686637223e+01,9.002499740196937239e+01,5.306752276256515444e+01,6.924845282885915942e+00
2.643578168975456677e+01,9.001958995384578088e+01,5.306748736507736197e+01,6.894462863934234242e+00
2.643797965047549425e+01,9.001415884196624972e+01,5.306745821940713626e+01,6.864168141752108099e+00
2.644016478415744942e+01,9.000870389470523492e+01,5.306743541019100263e+01,6.833965494977473298e+00
2.644233686147232021e+01,9.000322494211216906e+01,5.306741902309816084e+01,6.803859359230646220e+00
2.644449564862913604e+01,8.999772181622282119e+01,5.306740914490041661e+01,6.773854292834332824e+00
2.644664090727046712e+01,8.999219435119533728e+01,5.306740586351890698e+01,6.743955043051948373e+00
2.644877239442775974e+01,8.998664238356420242e+01,5.306740926789027668e+01,6.714166527346779212e+00
2.645088986248509499e+01,8.998106575251411243e+01,5.306741944810063671e+01,6.684493731717790155e+00
2.645299305910215537e+01,8.997546430008650020e+01,5.306743649511207650e+01,6.654941769092030057e+00
2.645508172720073148e+01,8.996983787150669798e+01,5.306746050117029512e+01,6.625516081597444540e+00
2.645715560489871976e+01,8.996418631542144340e+01,5.306749155938905460e+01,6.596222008928232405e+00
2.645921442548399938e+01,8.995850948421256987e+01,5.306752976382356479e+01,6.567065254338425362e+00
2.646125791729883048e+01,8.995280723416543367e+01,5.306757520958058194e+01,6.538051686252117634e+00
2.646328580381572237e+01,8.994707942596708961e+01,5.306762799274635256e+01,6.509187145370117555e+00
